time,goal_position,position,goal_velocity,velocity
6.24,0.6836,0.681208,0.2,0.205104
6.283,0.6904,0.690016,0.2,0.204746
6.326,0.6972,0.69881,0.2,0.204395
6.328,0.703992,0.699219,0.1992,0.204378
6.37,0.710742,0.707588,0.19784,0.204023
6.385,0.717445,0.710851,0.19648,0.203884
6.428,0.724102,0.719607,0.19512,0.203514
6.469,0.730713,0.727926,0.19376,0.202254
6.507,0.73747,0.735582,0.19236,0.200877
6.549,0.743987,0.743984,0.191,0.199327
6.588,0.750269,0.751724,0.18968,0.197775
6.63,0.756883,0.759993,0.18828,0.196143
6.631,0.763074,0.760189,0.18696,0.196105
6.677,0.769408,0.769157,0.1856,0.193947
6.692,0.775695,0.77206,0.18424,0.193239
6.73,0.781936,0.779366,0.18288,0.191474
6.77,0.788131,0.786986,0.18152,0.189674
6.811,0.79464,0.794722,0.18008,0.187876
6.852,0.800561,0.802385,0.17876,0.186073
6.894,0.806615,0.810157,0.1774,0.184195
6.937,0.812624,0.818033,0.17604,0.182315
6.937,0.818586,0.818033,0.17468,0.182315
6.978,0.824502,0.825647,0.17332,0.18042
6.999,0.830372,0.829245,0.17196,0.179533
7.039,0.836366,0.836388,0.17056,0.177785
7.082,0.841973,0.843987,0.16924,0.175865
7.124,0.847704,0.851332,0.16788,0.174033
7.17,0.853389,0.859284,0.16652,0.171841
7.17,0.859027,0.859284,0.16516,0.171841
7.213,0.86462,0.866625,0.1638,0.169755
7.237,0.870166,0.870683,0.16244,0.168612
7.281,0.875665,0.87789,0.16108,0.166762
7.324,0.881119,0.885183,0.15972,0.164917
7.37,0.886526,0.89272,0.15836,0.162949
7.411,0.891887,0.899362,0.157,0.16121
7.413,0.897202,0.899684,0.15564,0.161126
7.455,0.902471,0.906411,0.15428,0.159314
7.475,0.907693,0.909428,0.15292,0.158469
7.516,0.91287,0.916041,0.15156,0.15663
7.557,0.918,0.922424,0.1502,0.154884
7.601,0.923083,0.929195,0.14884,0.153063
7.648,0.928121,0.93634,0.14748,0.151181
7.649,0.933112,0.936491,0.14612,0.151142
7.693,0.938057,0.943101,0.14476,0.149469
7.712,0.942955,0.945933,0.1434,0.148758
7.756,0.947808,0.952438,0.14204,0.147029
7.8,0.952614,0.958863,0.14068,0.145219
7.841,0.957514,0.96478,0.13928,0.143558
7.875,0.962226,0.969633,0.13792,0.142084
7.915,0.966756,0.975139,0.1366,0.140424
7.916,0.971377,0.975279,0.13524,0.140382
7.964,0.975952,0.982105,0.13388,0.13843
7.984,0.980481,0.984864,0.13252,0.137674
8.03,0.984963,0.991154,0.13116,0.135963
8.065,0.989529,0.995886,0.12976,0.134572
8.094,0.99379,0.99977,0.12844,0.133414
8.135,0.998006,1.005203,0.12712,0.131805
8.181,1.002431,1.011213,0.12572,0.129674
8.229,1.006682,1.017381,0.12436,0.127491
8.231,1.010888,1.017636,0.123,0.127401
8.271,1.015168,1.02282,0.1216,0.125665
8.294,1.019279,1.025573,0.12024,0.124753
8.325,1.023225,1.029418,0.11892,0.123484
8.369,1.027246,1.034805,0.11756,0.121542
8.416,1.031219,1.040584,0.1162,0.119404
8.463,1.035147,1.046026,0.11484,0.117373
8.464,1.039029,1.046143,0.11348,0.117329
8.51,1.042864,1.05149,0.11212,0.115323
8.528,1.046653,1.053558,0.11076,0.114548
8.568,1.050396,1.058103,0.1094,0.112898
8.612,1.054092,1.063028,0.10804,0.111124
8.656,1.057742,1.067874,0.10668,0.109227
8.699,1.061346,1.072631,0.10532,0.107162
8.7,1.064904,1.072631,0.10396,0.107162
8.741,1.068518,1.076982,0.10256,0.105274
8.77,1.071982,1.080014,0.1012,0.10399
8.805,1.0754,1.083521,0.09984,0.102503
8.846,1.078673,1.087785,0.09852,0.100677
8.893,1.081999,1.092463,0.09716,0.098586
8.93,1.08528,1.096078,0.0958,0.096964
8.969,1.088608,1.099824,0.0944,0.095316
9.001,1.091794,1.102756,0.09304,0.094028
9.043,1.094843,1.106758,0.09172,0.092235
